SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1991 to 2000 - (created: 09-03-2020)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
27364;France;Indonesia;VAB-VTT;APC;Armoured vehicles;1997;No;18;No;1997;No;Second hand;0.2500;0.1;1.8;No
28599;United States;South Korea;M-9 ACE;AEV;Armoured vehicles;1995;No;27;Yes;1995;Yes;New;0.6800;0.6800;18.36;No
28599;United States;South Korea;M-9 ACE;AEV;Armoured vehicles;1995;No;60;Yes;1996;Yes;New;0.6800;0.6800;40.8;No
28599;United States;South Korea;M-9 ACE;AEV;Armoured vehicles;1995;No;60;Yes;1997;Yes;New;0.6800;0.6800;40.8;No
28599;United States;South Korea;M-9 ACE;AEV;Armoured vehicles;1995;No;60;Yes;1998;Yes;New;0.6800;0.6800;40.8;No
23866;United Kingdom;Peru;Javelin;Portable SAM;Missiles;1995;No;200;Yes;1995;No;New;0.0800;0.0800;16;No
25771;United States;Brazil;Bell-205/UH-1H;Helicopter;Aircraft;1996;No;11;Yes;1996;No;Second hand;2.6200;1.048;11.528;No
25771;United States;Brazil;Bell-205/UH-1H;Helicopter;Aircraft;1996;No;11;Yes;1997;No;Second hand;2.6200;1.048;11.528;No
27081;South Africa;Congo;Mamba;APC;Armoured vehicles;1996;Yes;18;No;1997;No;New;0.1500;0.1500;2.7;No
21597;United States;Philippines;Bell-205/UH-1H;Helicopter;Aircraft;1990;Yes;5;Yes;1992;No;Second hand;2.6200;1.048;5.24;No
15926;United Kingdom;Saudi Arabia;ALARM;ARM;Missiles;1991;Yes;96;Yes;1993;Yes;New;0.4000;0.4000;38.4;No
15926;United Kingdom;Saudi Arabia;ALARM;ARM;Missiles;1991;Yes;48;Yes;1996;Yes;New;0.4000;0.4000;19.2;No
21597;United States;Philippines;Bell-205/UH-1H;Helicopter;Aircraft;1990;Yes;5;Yes;1993;No;Second hand;2.6200;1.048;5.24;No
